agency,facility,legs,chargeable_legs,revenue
"Capes","MPLX Garyville",16,16,56000
"Capes","ARTCO Destrehan Buoys",4,4,42000
"Capes","AST St James",3,3,31500
"Capes","PBF Chalmette",9,9,31500
"Capes","UBT Davant",3,3,31500
"Capes","ADM AMA",2,2,21000
"Capes","AST Meraux Buoys",2,2,21000
"Capes","Baton Rouge General Cargo",6,6,21000
"Capes","CHS Myrtle Grove",2,2,21000
"Capes","Cargill Reserve",2,2,21000
"Capes","Convent Marine Terminal",2,2,21000
"Capes","Cooper Dockside",2,2,21000
"Capes","DRAX",6,6,21000
"Capes","Valero St Charles",6,6,21000
"Capes","CII Rain Gramercy",1,1,10500
"Capes","LDC Port Allen",1,1,10500
"Capes","MGMT",1,1,10500
"Capes","Mile 112 Buoys",1,1,10500
"Capes","Shell Norco",3,3,10500
"Capes","Cargill Molasses",2,2,7000
"Capes","Exxon Baton Rouge",2,2,7000
"Capes","MPLX Mt Airy",2,2,7000
"Capes","NuStar St James",2,2,7000
"Capes","Blackwater Westwego",1,1,3500
"Capes","CFI Donaldsonville",1,1,3500
"Capes","Genesis Baton Rouge",1,1,3500
"Capes","IMTT Gretna",1,1,3500
"Capes","Stolthaven",1,1,3500
"Capes","(never berthed)",4,0,0
"Celtic","Crosstex Energy",112,112,392000
"Celtic","Reserve Buoys",30,30,315000
"Celtic","AST Meraux Buoys",25,25,262500
"Celtic","AST St James",13,13,136500
"Celtic","AST Arabi Dolphins",12,12,126000
"Celtic","Cooper Dockside",7,7,73500
"Celtic","AST Chalmette Slip",9,9,45000
"Celtic","Zen-Noh",4,4,42000
"Celtic","CHS Myrtle Grove",3,3,31500
"Celtic","Convent Marine Terminal",3,3,31500
"Celtic","AST Chalmette Buoys",2,2,21000
"Celtic","Bunge Destrehan",2,2,21000
"Celtic","Cargill Reserve",2,2,21000
"Celtic","Nashville Ave",4,4,20000
"Celtic","P66 Alliance",5,5,17500
"Celtic","Avondale Global Gateway",3,3,15000
"Celtic","ABT Burnside",1,1,10500
"Celtic","ADM AMA",1,1,10500
"Celtic","ADM Reserve",1,1,10500
"Celtic","Cargill Westwego",1,1,10500
"Celtic","Mile 110 Buoys",1,1,10500
"Celtic","UBT Davant",1,1,10500
"Celtic","Vulcan St Rose Mooring",1,1,10500
"Celtic","1st Street",2,2,10000
"Celtic","AST Globalplex",2,2,10000
"Celtic","7th Street",1,1,5000
"Celtic","Louisiana Ave",1,1,5000
"Celtic","MPLX Garyville",1,1,3500
"Celtic","(never berthed)",1,0,0
"Fillette Green","AST St James",6,6,63000
"Fillette Green","Shell Norco",9,9,31500
"Fillette Green","CFI Donaldsonville",7,7,24500
"Fillette Green","AST Chalmette Buoys",2,2,21000
"Fillette Green","AST Meraux Buoys",2,2,21000
"Fillette Green","Convent Marine Terminal",2,2,21000
"Fillette Green","AST Chalmette Slip",3,3,15000
"Fillette Green","CHS Myrtle Grove",1,1,10500
"Fillette Green","Cooper Dockside",1,1,10500
"Fillette Green","Mile 112 Buoys",1,1,10500
"Fillette Green","Reserve Buoys",1,1,10500
"Fillette Green","Zen-Noh",1,1,10500
"Fillette Green","MPLX Garyville",2,2,7000
"Fillette Green","Harmony St",1,1,5000
"Fillette Green","Louisiana Ave",1,1,5000
"Fillette Green","Cargill Molasses",1,1,3500
"Fillette Green","Exxon Baton Rouge",1,1,3500
"Fillette Green","Placid Oil",1,1,3500
"GAC","IMTT Geismar",161,161,563500
"GAC","Valero St Charles",140,140,490000
"GAC","Venture Global",64,64,224000
"GAC","PBF Chalmette",37,37,129500
"GAC","Crosstex Energy",35,35,122500
"GAC","Baker Hughes",20,20,70000
"GAC","IMTT St Rose",16,16,56000
"GAC","MPLX Garyville",13,13,45500
"GAC","Ergon St James",11,11,38500
"GAC","Exxon Baton Rouge",10,10,35000
"GAC","Americas Styrenics",9,9,31500
"GAC","Chevron Empire",6,6,21000
"GAC","Mile 110 Buoys",2,2,21000
"GAC","Valero Meraux",6,6,21000
"GAC","Plains St James",5,5,17500
"GAC","AST Meraux Buoys",2,2,14000
"GAC","Blackwater Westwego",4,4,14000
"GAC","ARTCO Buoys",1,1,10500
"GAC","Cooper Darrow",1,1,10500
