agency,facility,legs,chargeable_legs,revenue
"Maritime Endeavors","(never berthed)",3,0,0
"Mentz","KM IMT Myrtle Grove",25,25,262500
"Mentz","Reserve Buoys",2,2,21000
"Mentz","UBT Davant",2,2,21000
"Mentz","Convent Marine Terminal",1,1,10500
"Moran Shipping","AST St James",28,28,294000
"Moran Shipping","Shell Norco",60,60,210000
"Moran Shipping","IMTT St Rose",59,59,206500
"Moran Shipping","Valero St Charles",49,49,171500
"Moran Shipping","Plains St James",48,48,168000
"Moran Shipping","MPLX Garyville",26,26,91000
"Moran Shipping","Avondale Global Gateway",13,13,65000
"Moran Shipping","NuStar St James",16,16,56000
"Moran Shipping","PBF Chalmette",15,15,52500
"Moran Shipping","Exxon Baton Rouge",14,14,49000
"Moran Shipping","Valero Meraux",13,13,45500
"Moran Shipping","Genesis Baton Rouge",12,12,42000
"Moran Shipping","ADM Destrehan",3,3,31500
"Moran Shipping","MPLX Mt Airy",8,8,28000
"Moran Shipping","Venture Global",8,8,28000
"Moran Shipping","Cooper Darrow",2,2,21000
"Moran Shipping","Blackwater Harvey",4,4,14000
"Moran Shipping","Stolthaven",4,4,14000
"Moran Shipping","ADM AMA",1,1,10500
"Moran Shipping","ARTCO Buoys",1,1,10500
"Moran Shipping","AST Arabi Dolphins",1,1,10500
"Moran Shipping","Baton Rouge General Cargo",3,3,10500
"Moran Shipping","Bunge Destrehan",1,1,10500
"Moran Shipping","CHS Myrtle Grove",1,1,10500
"Moran Shipping","Cargill Molasses",3,3,10500
"Moran Shipping","DRAX",1,1,10500
"Moran Shipping","IMC Faustina",1,1,10500
"Moran Shipping","IMTT Gretna",3,3,10500
"Moran Shipping","UBT Davant",1,1,10500
"Moran Shipping","Vulcan St Rose Mooring",3,3,10500
"Moran Shipping","Aramco Convent",2,2,7000
"Moran Shipping","Chevron Empire",2,2,7000
"Moran Shipping","Shintech",2,2,7000
"Moran Shipping","AST Chalmette Slip",1,1,5000
"Moran Shipping","Americas Styrenics",1,1,3500
"Moran Shipping","LBC Sunshine",1,1,3500
"Moran Shipping","P66 Alliance",1,1,3500
"Moran Shipping","Total Carville",1,1,3500
"Moran Shipping","Willow Glen",1,1,3500
"Moran Shipping","(never berthed)",7,0,0
"Navigo","UBT Davant",31,31,325500
"Navigo","ABT Burnside",15,15,157500
"Navigo","KM IMT Myrtle Grove",3,3,31500
"Navigo","ARTCO Destrehan Buoys",2,2,21000
"Navigo","AST Meraux Buoys",1,1,10500
"Navigo","Convent Marine Terminal",1,1,10500
"Navigo","Cooper Darrow",1,1,10500
"Navigo","Cooper Dockside",1,1,10500
"Navigo","Mile 112 Buoys",1,1,10500
"Navigo","Reserve Buoys",1,1,10500
"Newship","Zen-Noh",77,77,808500
"Newship","ADM AMA",65,65,682500
"Newship","Nashville Ave",72,72,360000
"Newship","ADM Destrehan",34,34,357000
"Newship","LDC Port Allen",27,27,283500
"Newship","ADM Reserve",18,18,189000
"Newship","CHS Myrtle Grove",17,17,178500
"Newship","Cargill Reserve",17,17,178500
"Newship","Cargill Westwego",14,14,147000
"Newship","Cooper Darrow",8,8,84000
"Newship","Mile 110 Buoys",5,5,52500
"Newship","MGMT",3,3,31500
"Newship","ABT Burnside",1,1,10500
"Newship","Bunge Destrehan",1,1,10500
"Newship","Convent Marine Terminal",1,1,10500
"Newship","Louisiana Ave",1,1,5000
"Newship","KMI Harvey",1,1,3500
"Newship","(never berthed)",6,0,0
"NolaPort","Erato St",369,369,922500
"NolaPort","Julia St",81,81,202500
"NolaPort","(never berthed)",1,0,0
"NordSud","AST Chalmette Slip",129,129,645000
"NordSud","Nucor Steel",52,52,546000
"NordSud","Avondale Global Gateway",28,28,140000
"NordSud","Cargill Westwego",8,8,84000
"NordSud","Convent Marine Terminal",6,6,63000
"NordSud","7th Street",12,12,60000
"NordSud","Cargill Reserve",5,5,52500
"NordSud","Nashville Ave",9,9,45000
"NordSud","ADM Reserve",4,4,42000
"NordSud","Louisiana Ave",7,7,35000
"NordSud","ADM AMA",3,3,31500
"NordSud","ADM Destrehan",3,3,31500
"NordSud","MGMT",3,3,31500
"NordSud","Mile 110 Buoys",3,3,31500
"NordSud","MPLX Garyville",7,7,24500
"NordSud","AST Meraux Buoys",2,2,21000
"NordSud","Cooper Dockside",2,2,21000
"NordSud","Zen-Noh",2,2,21000
"NordSud","PBF Chalmette",5,5,17500
"NordSud","Plains St James",5,5,17500
"NordSud","Valero St Charles",5,5,17500
"NordSud","1st Street",3,3,15000
"NordSud","DRAX",1,1,10500
"NordSud","UBT Davant",1,1,10500
"NordSud","IMC Faustina",2,2,7000
"NordSud","Harmony St",1,1,3500
"NordSud","KMI Harvey",1,1,3500
"NordSud","MPLX Mt Airy",1,1,3500
"NordSud","Valero Meraux",1,1,3500
"NordSud","(never berthed)",2,0,0
"NordSud","Buck Kreihs",1,0,0
"Norton Lilly","ADM Destrehan",363,363,3811500
"Norton Lilly","ADM AMA",336,336,3528000
"Norton Lilly","ADM Reserve",225,225,2362500
"Norton Lilly","Mile 110 Buoys",113,113,1186500
"Norton Lilly","AST St James",108,108,1134000
"Norton Lilly","Nashville Ave",920,920,949250
"Norton Lilly","ARTCO Destrehan Buoys",32,32,336000
"Norton Lilly","Avondale Global Gateway",67,67,335000
"Norton Lilly","Venture Global",92,92,322000
"Norton Lilly","Zen-Noh",30,30,315000
"Norton Lilly","ARTCO Buoys",24,24,252000
"Norton Lilly","Cargill Reserve",22,22,231000
"Norton Lilly","Cargill Westwego",21,21,220500
"Norton Lilly","7th Street",40,40,200000
"Norton Lilly","CHS Myrtle Grove",15,15,157500
"Norton Lilly","IMC Faustina",15,15,157500
"Norton Lilly","Cooper Darrow",14,14,147000
"Norton Lilly","AST Chalmette Slip",29,29,145000
"Norton Lilly","Louisiana Ave",29,29,145000
"Norton Lilly","Stolthaven",37,37,129500
"Norton Lilly","Valero St Charles",24,24,84000
"Norton Lilly","IMTT Gretna",23,23,80500
"Norton Lilly","Cooper Dockside",7,7,73500
"Norton Lilly","MPLX Garyville",20,20,70000
"Norton Lilly","AST Arabi Dolphins",6,6,63000
"Norton Lilly","Convent Marine Terminal",6,6,63000
"Norton Lilly","Napoleon Ave",81,81,60750
"Norton Lilly","AST Meraux Buoys",5,5,52500
"Norton Lilly","Bunge Destrehan",5,5,52500
"Norton Lilly","KMI Harvey",15,15,52500
"Norton Lilly","Shell Geismar",13,13,45500
"Norton Lilly","Shell Norco",13,13,45500
"Norton Lilly","Blackwater Westwego",11,11,38500
"Norton Lilly","PBF Chalmette",10,10,35000
"Norton Lilly","AST Chalmette Buoys",3,3,31500
"Norton Lilly","Vulcan St Rose Mooring",3,3,31500
"Norton Lilly","Harmony St",6,6,30000
"Norton Lilly","IMTT St Rose",8,8,28000
"Norton Lilly","Valero Meraux",7,7,24500
"Norton Lilly","CFI Donaldsonville",6,6,21000
"Norton Lilly","Dow Missouri",6,6,21000
"Norton Lilly","Chevron Empire",5,5,17500
"Norton Lilly","DRAX",3,3,17500
"Norton Lilly","Occidental Taft",5,5,17500
"Norton Lilly","1st Street",3,3,15000
"Norton Lilly","Americas Styrenics",4,4,14000
"Norton Lilly","ABT Burnside",1,1,10500
"Norton Lilly","IMTT Geismar",3,3,10500
"Norton Lilly","LDC Port Allen",1,1,10500
"Norton Lilly","Nucor Steel",1,1,10500
"Norton Lilly","Total Carville",3,3,10500
"Norton Lilly","Axiall Plaquemine",2,2,7000
"Norton Lilly","Blackwater Harvey",2,2,7000
"Norton Lilly","Exxon Baton Rouge",2,2,7000
"Norton Lilly","MPLX Mt Airy",2,2,7000
"Norton Lilly","Shintech",2,2,7000
"Norton Lilly","Erato St",2,2,5000
"Norton Lilly","AST Globalplex",1,1,3500
"Norton Lilly","Genesis Baton Rouge",1,1,3500
"Norton Lilly","Julia St",1,1,3500
"Norton Lilly","KM IMT Myrtle Grove",1,1,3500
"Norton Lilly","(never berthed)",161,0,0
"Norton Lilly","Alabo St",1,0,0
"Norton Lilly","Perry Street",1,0,0
"Nova","Cargill Reserve",216,216,2268000
"Nova","Cargill Westwego",137,137,1438500
"Nova","Cooper Darrow",13,13,136500
"Nova","ARTCO Destrehan Buoys",12,12,126000
"Nova","ARTCO Buoys",9,9,94500
"Nova","CHS Myrtle Grove",9,9,94500
"Nova","Zen-Noh",7,7,73500
"Nova","Bunge Destrehan",5,5,52500
"Nova","Reserve Buoys",5,5,52500
"Nova","ADM Destrehan",4,4,42000
"Nova","LDC Port Allen",4,4,42000
"Nova","Mile 110 Buoys",4,4,42000
"Nova","ADM Reserve",3,3,31500
"Nova","Mile 112 Buoys",3,3,31500
"Nova","AST St James",2,2,21000
"Nova","MGMT",2,2,21000
"Nova","Mile 111 Buoys",2,2,21000
"Nova","ADM AMA",1,1,10500
"Nova","Cargill Molasses",1,1,10500
"Nova","Convent Marine Terminal",1,1,10500
"Nova","IMTT Avondale",1,1,3500
"Nova","(never berthed)",9,0,0
"Riley-Sherman","PBF Chalmette",17,17,59500
"Riley-Sherman","Genesis Baton Rouge",16,16,56000
"Riley-Sherman","Valero St Charles",11,11,38500
"Riley-Sherman","DRAX",2,2,7000
"Riley-Sherman","IMTT St Rose",2,2,7000
"Riley-Sherman","MPLX Garyville",2,2,7000
"Riley-Sherman","Americas Styrenics",1,1,3500
"Riley-Sherman","Baton Rouge General Cargo",1,1,3500
"Riley-Sherman","Ergon St James",1,1,3500
"Riley-Sherman","Exxon Baton Rouge",1,1,3500
"Riley-Sherman","IMTT Gretna",1,1,3500
"Riley-Sherman","Magellan Marrero",1,1,3500
"Riley-Sherman","Plains St James",1,1,3500
"Riley-Sherman","Shell Norco",1,1,3500
"Riley-Sherman","Sugarland St James",1,1,3500
"Riley-Sherman","Vulcan St Rose Mooring",1,1,3500
"Riley-Sherman","(never berthed)",2,0,0
"Riverbend","MPLX Garyville",23,23,80500
"Riverbend","Blackwater Harvey",13,13,45500
"Riverbend","Shell Norco",11,11,38500
"Riverbend","Exxon Baton Rouge",6,6,21000
"Riverbend","IMTT St Rose",6,6,21000
"Riverbend","PBF Chalmette",6,6,21000
"Riverbend","Valero St Charles",6,6,21000
"Riverbend","Valero Meraux",4,4,14000
"Riverbend","Cargill Molasses",1,1,3500
"Riverbend","(never berthed)",1,0,0
"Riverside","ABT Burnside",36,36,378000
"Riverside","Nashville Ave",18,18,90000
"Riverside","AST St James",7,7,73500
"Riverside","Convent Marine Terminal",4,4,42000
"Riverside","UBT Davant",3,3,31500
"Riverside","ADM Reserve",2,2,21000
"Riverside","Cooper Dockside",2,2,21000
"Riverside","LDC Port Allen",2,2,21000
"Riverside","Zen-Noh",2,2,21000
"Riverside","AST Chalmette Buoys",1,1,10500
"Riverside","AST Meraux Buoys",1,1,10500
"Riverside","Cargill Reserve",1,1,10500
"Riverside","Reserve Buoys",1,1,10500
"Riverside","AST Globalplex",2,2,10000
"Seaport Hub","Exxon Baton Rouge",28,28,98000
"Seaport Hub","Chevron Empire",12,12,42000
"Seaport Hub","Shell Norco",9,9,31500
"Seaport Hub","MPLX Garyville",5,5,17500
"Seaport Hub","Valero St Charles",3,3,10500
"Seaport Hub","IMTT St Rose",2,2,7000
"Seaport Hub","MPLX Mt Airy",2,2,7000
"Seaport Hub","PBF Chalmette",2,2,7000
"Seaport Hub","Valero Meraux",2,2,7000
"Seaport Hub","(never berthed)",4,0,0
"Southport","Zen-Noh",293,293,3076500
"Southport","Cooper Darrow",280,280,2940000
"Southport","Bunge Destrehan",222,222,2331000
"Southport","Cargill Westwego",100,100,1050000
"Southport","CHS Myrtle Grove",90,90,945000
"Southport","Cargill Reserve",90,90,945000
"Southport","AST Meraux Buoys",88,88,924000
"Southport","LDC Port Allen",70,70,735000
"Southport","ADM AMA",68,68,714000
"Southport","MGMT",63,63,661500
"Southport","ADM Destrehan",41,41,430500
"Southport","ADM Reserve",34,34,357000
"Southport","Reserve Buoys",20,20,210000
"Southport","IMTT St Rose",28,28,98000
"Southport","Mile 110 Buoys",8,8,84000
"Southport","Stolthaven",24,24,84000
"Southport","AST St James",7,7,73500
"Southport","KMI Harvey",17,17,59500
"Southport","IMTT Geismar",11,11,38500
"Southport","Dow Missouri",9,9,31500
"Southport","IMC Faustina",3,3,31500
"Southport","MPLX Garyville",7,7,31500
"Southport","AST Chalmette Slip",6,6,30000
"Southport","IMTT Gretna",7,7,24500
"Southport","AST Chalmette Buoys",2,2,21000
"Southport","Axiall Plaquemine",6,6,21000
"Southport","CFI Donaldsonville",6,6,21000
"Southport","Convent Marine Terminal",2,2,21000
"Southport","Cooper Dockside",2,2,21000
"Southport","Shintech",6,6,21000
"Southport","Valero St Charles",5,5,17500
"Southport","LBC Sunshine",4,4,14000
"Southport","ARTCO Buoys",1,1,10500
"Southport","ARTCO Destrehan Buoys",1,1,10500
"Southport","AST Arabi Dolphins",1,1,10500
"Southport","Blackwater Harvey",3,3,10500
"Southport","Blackwater Westwego",3,3,10500
"Southport","Mile 112 Buoys",1,1,10500
"Southport","Shell Geismar",3,3,10500
"Southport","Total Carville",3,3,10500
"Southport","UBT Davant",1,1,10500
"Southport","AST Globalplex",2,2,10000
"Southport","Avondale Global Gateway",2,2,10000
"Southport","Americas Styrenics",2,2,7000
"Southport","Shell Norco",2,2,7000
"Southport","Valero Meraux",2,2,7000
"Southport","Willow Glen",2,2,7000
"Southport","Baker Hughes",1,1,3500
"Southport","Cargill Molasses",1,1,3500
"Southport","Dow Plaquemine",1,1,3500
"Southport","Exxon Baton Rouge",1,1,3500
"Southport","IMTT Avondale",1,1,3500
"Southport","KMI Seven Oaks",1,1,3500
"Southport","KMI St Gabriel",1,1,3500
"Southport","MPLX Mt Airy",1,1,3500
"Southport","PCS Nitrogen",1,1,3500
"Southport","(never berthed)",26,0,0
"Tricon","ARTCO Destrehan Buoys",61,61,640500
"Tricon","AST Chalmette Buoys",48,48,504000
"Tricon","Mile 110 Buoys",44,44,462000
"Tricon","CFI Donaldsonville",127,127,444500
"Tricon","AST Meraux Buoys",36,36,378000
"Tricon","AST Arabi Dolphins",26,26,273000
"Tricon","ARTCO Buoys",22,22,231000
"Tricon","1st Street",44,44,220000
"Tricon","AST Chalmette Slip",35,35,175000
"Tricon","Cooper Darrow",12,12,126000
"Tricon","AST Globalplex",25,25,125000
"Tricon","7th Street",24,24,120000
"Tricon","Vulcan St Rose Mooring",11,11,115500
"Tricon","Yara Fertilizer",9,9,94500
"Tricon","PCS Nitrogen",24,24,91000
"Tricon","Harmony St",17,17,85000
"Tricon","CHS Myrtle Grove",7,7,73500
"Tricon","Cargill Reserve",7,7,73500
"Tricon","ADM AMA",6,6,63000
"Tricon","Reserve Buoys",6,6,63000
"Tricon","Zen-Noh",6,6,63000
"Tricon","IMTT Avondale",16,16,56000
"Tricon","Blackwater Harvey",11,11,38500
"Tricon","ABT Burnside",3,3,31500
"Tricon","AST St James",3,3,31500
"Tricon","Bunge Destrehan",3,3,31500
"Tricon","DRAX",3,3,31500
"Tricon","Mile 112 Buoys",3,3,31500
"Tricon","UBT Davant",3,3,31500
"Tricon","Occidental Taft",8,8,28000
"Tricon","ADM Destrehan",2,2,21000
"Tricon","Convent Marine Terminal",2,2,21000
"Tricon","LDC Port Allen",2,2,21000
"Tricon","Avondale Global Gateway",4,4,20000
"Tricon","Cornerstone",5,5,17500
"Tricon","IMC Faustina",5,5,17500
"Tricon","ADM Reserve",1,1,10500
"Tricon","Cooper Dockside",1,1,10500
"Tricon","MGMT",1,1,10500
"Tricon","Nashville Ave",2,2,10000
"Tricon","KMI Harvey",2,2,7000
"Tricon","IMTT Gretna",1,1,3500
"Tricon","(never berthed)",6,0,0
"Valhalla","IMTT St Rose",35,35,122500
"Valhalla","AST Chalmette Buoys",7,7,73500
"Valhalla","7th Street",12,12,60000
"Valhalla","AST Chalmette Slip",11,11,55000
"Valhalla","Louisiana Ave",10,10,50000
"Valhalla","Nashville Ave",10,10,50000
"Valhalla","ARTCO Destrehan Buoys",3,3,31500
"Valhalla","Willow Glen",9,9,31500
"Valhalla","Mile 110 Buoys",2,2,21000
"Valhalla","Vulcan St Rose Mooring",2,2,14000
"Valhalla","ADM Destrehan",1,1,10500
"Valhalla","AST Arabi Dolphins",1,1,10500
"Valhalla","CHS Myrtle Grove",1,1,10500
"Valhalla","Avondale Global Gateway",2,2,10000
"Valhalla","Harmony St",1,1,5000
"Valhalla","(never berthed)",1,0,0
"Valhalla","Alabo St",1,0,0
"VertomCory","Crosstex Energy",123,123,430500
"VertomCory","P66 Alliance",31,31,108500
"VertomCory","Shell Norco",8,8,28000
"VertomCory","CFI Donaldsonville",5,5,17500
"VertomCory","Avondale Global Gateway",1,1,5000
"VertomCory","(never berthed)",10,0,0
"Wilhelmsen","AST Meraux Buoys",5,5,52500
"Wilhelmsen","AST Chalmette Buoys",4,4,42000
"Wilhelmsen","Cooper Dockside",3,3,31500
"Wilhelmsen","7th Street",6,6,30000
"Wilhelmsen","Avondale Global Gateway",6,6,30000
"Wilhelmsen","ADM Reserve",2,2,21000
"Wilhelmsen","Harmony St",3,3,15000
"Wilhelmsen","ADM AMA",1,1,10500
"Wilhelmsen","ADM Destrehan",1,1,10500
"Wilhelmsen","CHS Myrtle Grove",1,1,10500
"Wilhelmsen","Dow Missouri",3,3,10500
"Wilhelmsen","Valero Meraux",3,3,10500
"Wilhelmsen","Zen-Noh",1,1,10500
"Wilhelmsen","AST Chalmette Slip",2,2,10000
"Wilhelmsen","Shell Norco",2,2,7000
"Wilhelmsen","CFI Donaldsonville",1,1,3500
"Wilhelmsen","Exxon Baton Rouge",1,1,3500
"Wilhelmsen","(never berthed)",2,0,0
