agency,loadings,distinct_vessels,chargeable_legs,agency_fee,avg_fee_per_chargeable_leg,fgis_matched_loadings,tons_fgis_matched
"Southport",1071,909,1071,11245500,10500,994,46646050
"Norton Lilly",1032,817,1032,10836000,10500,977,39680988
"Blue Water",783,672,783,8221500,10500,766,38543693
"Nova",392,315,392,4116000,10500,374,16840184
"Newship",273,223,273,2866500,10500,264,9498901
"HOST",177,167,177,1858500,10500,117,5129104
"General Maritime",156,97,156,1638000,10500,156,4966873
"General Steamship",135,120,135,1417500,10500,133,5282401
"Gulf Inland",68,53,68,714000,10500,63,2014174
"Tricon",54,54,54,567000,10500,53,2321131
"NordSud",28,24,28,294000,10500,26,1450101
"(no agency)",19,14,19,185500,9763,17,460107
"Celtic",14,14,14,147000,10500,14,793971
"Maritime Endeavors",12,12,12,126000,10500,12,464194
"Capes",8,8,8,84000,10500,7,253312
"Riverside",7,7,7,73500,10500,7,319434
"Moran Shipping",6,6,6,63000,10500,4,100503
"Wilhelmsen",6,6,6,63000,10500,6,163573
"Inchcape",3,3,3,31500,10500,3,139089
"Valhalla",3,3,3,31500,10500,3,110669
"Biehl",2,2,2,21000,10500,1,52317
"Fillette Green",2,2,2,21000,10500,2,105429
"Gulf Harbor",2,2,2,21000,10500,2,32956
"Bertel",1,1,1,3500,3500,0,0
